RANK,METHOD,"TOP 1 ACCURACY","TOP 5 ACCURACY","NUMBER OF PARAMS","EXTRA TRAINING DATA","PAPER TITLE",YEAR,PAPER,CODE
1,"FixResNeXt-101 32x48d",0.8640000000000001,0.98,829M,,"Fixing the train-test resolution discrepancy",2019,,
2,"ResNeXt-101 32x48d",0.8540000000000001,0.976,829M,,"Exploring the Limits of Weakly Supervised Pretraining",2018,,
3,"ResNeXt-101 32x32d",0.851,0.975,466M,,"Exploring the Limits of Weakly Supervised Pretraining",2018,,
4,"EfficientNet-B7 (RandAugment)",0.85,0.972,66M,,"RandAugment: Practical data augmentation with no separate search",2019,,
5,"ResNeXt-101 32x16d (semi-weakly sup.)",0.848,,,,"Billion-scale semi-supervised learning for image classification",2019,,
6,EfficientNet-B7,0.8440000000000001,0.971,66M,,"EfficientNet: Rethinking Model Scaling for Convolutional Neural Networks",2019,,
7,GPIPE,0.843,0.97,557M,,"GPipe: Efficient Training of Giant Neural Networks using Pipeline Parallelism",2018,,
8,"ResNeXt-101 32x8d (semi-weakly sup.)",0.843,,,,"Billion-scale semi-supervised learning for image classification",2019,,
9,"ResNeXt-101 32×16d",0.8420000000000001,0.972,194M,,"Exploring the Limits of Weakly Supervised Pretraining",2018,,
10,EfficientNet-B6,0.84,0.9690000000000001,43M,,"EfficientNet: Rethinking Model Scaling for Convolutional Neural Networks",2019,,
11,AmoebaNet-A,0.8390000000000001,0.966,469M,,"Regularized Evolution for Image Classifier Architecture Search",2018,,
12,FixPNASNet-5,0.8370000000000001,0.968,86.1M,,"Fixing the train-test resolution discrepancy",2019,,
13,"MultiGrain PNASNet (500px)",0.836,0.9670000000000001,86M,,"MultiGrain: a unified image embedding for classes and instances",2019,,
14,"ResNeXt-101 32x4d (semi-weakly sup.)",0.8340000000000001,,,,"Billion-scale semi-supervised learning for image classification",2019,,
15,EfficientNet-B5,0.833,0.9670000000000001,30M,,"EfficientNet: Rethinking Model Scaling for Convolutional Neural Networks",2019,,
16,"MultiGrain SENet154 (400px)",0.83,0.965,86M,,"MultiGrain: a unified image embedding for classes and instances",2019,,
17,"Oct-ResNet-152 (SE)",0.8290000000000001,0.963,67M,,"Drop an Octave: Reducing Spatial Redundancy in Convolutional Neural Networks with Octave Convolution",2019,,
18,PNASNet-5,0.8290000000000001,0.9620000000000001,86.1M,,"Progressive Neural Architecture Search",2017,,
19,"NASNET-A (6)",0.8270000000000001,0.9620000000000001,89M,,"Learning Transferable Architectures for Scalable Image Recognition",2017,,
20,SENet-154,0.8270000000000001,0.9620000000000001,146M,,"Squeeze-and-Excitation Networks",2017,,
21,EfficientNet-B4,0.826,0.963,19M,,"EfficientNet: Rethinking Model Scaling for Convolutional Neural Networks",2019,,
22,"FixResNet-50 Billion",0.825,0.966,25.6M,,"Fixing the train-test resolution discrepancy",2019,,
23,SCARLET-A4,0.823,0.96,27.8M,,"ScarletNAS: Bridging the Gap Between Scalability and Fairness in Neural Architecture Search",2019,,
24,"ResNeXt-101 32x8d",0.8220000000000001,0.9640000000000001,88M,,"Exploring the Limits of Weakly Supervised Pretraining",2018,,
25,"DPN-131 (320x320, Mean-Max Pooling)",0.8145,0.9584,80M,,"Dual Path Networks",2017,,
26,"DPN-131 (320x320)",0.8138,0.9577,80M,,"Dual Path Networks",2017,,
27,PolyNet,0.813,0.958,92M,,"PolyNet: A Pursuit of Structural Diversity in Very Deep Networks",2016,,
28,"DPN-98 (320x320, Mean-Max Pooling)",0.8128,0.956,,,"Dual Path Networks",2017,,
29,"ResNet-50 (semi-weakly sup.)",0.812,,,,"Billion-scale semi-supervised learning for image classification",2019,,
30,EfficientNet-B3,0.8109999999999999,0.955,12M,,"EfficientNet: Rethinking Model Scaling for Convolutional Neural Networks",2019,,
31,"DPN-98 (320x320)",0.8106,0.9556,,,"Dual Path Networks",2017,,
32,"DPN-92 (320x320, Mean-Max Pooling)",0.8096,0.9547,,,"Dual Path Networks",2017,,
33,"ResNeXt-101 64x4",0.809,0.956,83.6M,,"Aggregated Residual Transformations for Deep Neural Networks",2016,,
34,"DPN-92 (320x320)",0.8066,0.9534,,,"Dual Path Networks",2017,,
35,"Inception ResNet V2",0.8009999999999999,0.951,55.8M,,"Inception-v4, Inception-ResNet and the Impact of Residual Connections on Learning",2016,,
36,RandWire-WS,0.8009999999999999,0.948,,,"Exploring Randomly Wired Neural Networks for Image Recognition",2019,,
37,"DPN-131 (224x224)",0.8007,0.9488,80M,,"Dual Path Networks",2017,,
38,"DPN-98 (224x224)",0.7995,0.9484999999999999,,,"Dual Path Networks",2017,,
39,ScaleNet-152,0.7994,0.9481999999999999,,,"Data-Driven Neuron Allocation for Scale Aggregation Networks",2019,,
40,ResNet-200,0.799,0.9520000000000001,,,"Identity Mappings in Deep Residual Networks",2016,,
41,"Modified Aligned Xception",0.7981,0.9483,,,"Encoder-Decoder with Atrous Separable Convolution for Semantic Image Segmentation",2018,,
42,SKNet-101,0.7981,,,,"Selective Kernel Networks",2019,,
43,"FixResNet-50 CutMix",0.7979999999999999,0.9490000000000001,25.6M,,"Fixing the train-test resolution discrepancy",2019,,
44,EfficientNet-B2,0.7979999999999999,0.9490000000000001,9.2M,,"EfficientNet: Rethinking Model Scaling for Convolutional Neural Networks",2019,,
45,Res2Net-DLA-60,0.7947,,,,"Res2Net: A New Multi-scale Backbone Architecture",2019,,
46,"MultiGrain R50-AA-500",0.794,0.948,,,"MultiGrain: a unified image embedding for classes and instances",2019,,
47,"DPN-92 (224x224)",0.7927,0.9462999999999999,,,"Dual Path Networks",2017,,
48,DenseNet-264,0.792,0.9470999999999999,,,"Densely Connected Convolutional Networks",2016,,
49,"JFT-300M Finetuning",0.792,0.9470000000000001,,,"Revisiting Unreasonable Effectiveness of Data in Deep Learning Era",2017,,
50,ScaleNet-101,0.7918000000000001,0.9458,,,"Data-Driven Neuron Allocation for Scale Aggregation Networks",2019,,
