CLASSIFIER,PREPROCESSING,"TEST ERROR RATE",Reference
"Linear Classifiers",,,
"linear classifier (1-layer NN)",none,12,"LeCun et al. 1998"
"linear classifier (1-layer NN)",deskewing,8.4,"LeCun et al. 1998"
"pairwise linear classifier",deskewing,7.6,"LeCun et al. 1998"
"K-Nearest Neighbors",,,
"K-nearest-neighbors, Euclidean (L2)",none,5,"LeCun et al. 1998"
"K-nearest-neighbors, Euclidean (L2)",none,3.09,"Kenneth Wilder, U. Chicago"
"K-nearest-neighbors, L3",none,2.83,"Kenneth Wilder, U. Chicago"
"K-nearest-neighbors, Euclidean (L2)",deskewing,2.4,"LeCun et al. 1998"
"K-nearest-neighbors, Euclidean (L2)","deskewing, noise removal, blurring",1.8,"Kenneth Wilder, U. Chicago"
"K-nearest-neighbors, L3","deskewing, noise removal, blurring",1.73,"Kenneth Wilder, U. Chicago"
"K-nearest-neighbors, L3","deskewing, noise removal, blurring, 1 pixel shift",1.33,"Kenneth Wilder, U. Chicago"
"K-nearest-neighbors, L3","deskewing, noise removal, blurring, 2 pixel shift",1.22,"Kenneth Wilder, U. Chicago"
"K-NN with non-linear deformation (IDM)","shiftable edges",0.54,"Keysers et al. IEEE PAMI 2007"
"K-NN with non-linear deformation (P2DHMDM)","shiftable edges",0.52,"Keysers et al. IEEE PAMI 2007"
"K-NN, Tangent Distance","subsampling to 16x16 pixels",1.1,"LeCun et al. 1998"
"K-NN, shape context matching","shape context feature extraction",0.63,"Belongie et al. IEEE PAMI 2002"
"Boosted Stumps",,,
"boosted stumps",none,7.7,"Kegl et al., ICML 2009"
"products of boosted stumps (3 terms)",none,1.26,"Kegl et al., ICML 2009"
"boosted trees (17 leaves)",none,1.53,"Kegl et al., ICML 2009"
"stumps on Haar features","Haar features",1.02,"Kegl et al., ICML 2009"
"product of stumps on Haar f.","Haar features",0.87,"Kegl et al., ICML 2009"
"Non-Linear Classifiers",,,
"40 PCA + quadratic classifier",none,3.3,"LeCun et al. 1998"
"1000 RBF + linear classifier",none,3.6,"LeCun et al. 1998"
SVMs,,,
"SVM, Gaussian Kernel",none,1.4,
"SVM deg 4 polynomial",deskewing,1.1,"LeCun et al. 1998"
"Reduced Set SVM deg 5 polynomial",deskewing,1,"LeCun et al. 1998"
"Virtual SVM deg-9 poly [distortions]",none,0.8,"LeCun et al. 1998"
